Serial No.,Name,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
1,Brycen Sweeney,340,120,4,4.5,4,9.92,1,0.97
2,Kayden Nash,340,120,5,4.5,4.5,9.91,1,0.97
3,Deacon Reed,334,120,5,4,5,9.87,1,0.97
4,Rory Bass,335,117,5,5,5,9.82,1,0.96
5,John Ewing,339,116,4,4,3.5,9.8,1,0.96
6,Vanessa Pope,331,112,5,4,5,9.8,1,0.94
7,Kristopher Bailey,336,119,5,4,3.5,9.8,1,0.97
8,Stephen Johnson,333,119,5,5,4.5,9.78,1,0.96
9,Bryce Kline,339,114,5,4,4.5,9.76,1,0.96
10,Rihanna Davidson,336,112,5,5,5,9.76,1,0.96
11,Declan Mejia,340,113,4,5,5,9.74,1,0.96
12,Regina Bowen,339,119,5,4.5,4,9.7,0,0.89
13,Payton Moran,334,119,5,5,4.5,9.7,1,0.95
14,Alani Sexton,335,115,4,4.5,4.5,9.68,1,0.93
15,Ashlee Carr,333,117,4,5,4,9.66,1,0.95
16,Abdiel Matthews,340,112,4,5,4.5,9.66,1,0.94
17,Frederick Brady,338,120,4,5,5,9.66,1,0.95
18,Halle Leonard,337,118,4,4.5,4.5,9.65,1,0.92
19,Mary Carson,332,118,5,5,5,9.64,1,0.94
20,Clara Pace,336,119,4,4.5,4,9.62,1,0.95
21,Sabrina Mcneil,340,114,5,4,4,9.6,1,0.9
22,Ruth Maddox,340,120,5,4.5,4.5,9.6,1,0.94
23,Lainey Vazquez,335,117,5,5,5,9.56,1,0.94
24,Erika Madden,334,116,4,4,3.5,9.54,1,0.93
25,Julia Wilson,336,118,5,4.5,5,9.53,1,0.94
26,Sterling Guerrero,340,120,4,5,5,9.5,1,0.96
27,Arielle Blanchard,328,116,5,5,5,9.5,1,0.94
28,Camryn Becker,334,119,5,4.5,4.5,9.48,1,0.94
29,Tessa Walls,332,118,5,5,5,9.47,1,0.94
30,Blake Richard,338,117,4,3.5,4.5,9.46,1,0.91
31,Ariella Ritter,330,116,4,5,4.5,9.45,1,0.91
32,Ada Cummings,329,113,5,5,4.5,9.45,1,0.89
33,Denisse Leon,340,115,5,4.5,4.5,9.45,1,0.94
34,Mariana Walters,321,111,5,5,5,9.45,1,0.93
35,Fernanda Whitehead,335,118,5,4.5,3.5,9.44,1,0.93
36,Travis Mason,331,115,5,4,3.5,9.44,1,0.92
37,David Nixon,334,114,4,4,4,9.43,1,0.93
38,Jonas Fuller,331,117,4,4.5,5,9.42,1,0.94
39,Franklin Newton,326,113,5,4.5,4,9.4,1,0.91
40,Liliana Mcconnell,338,118,4,3,4.5,9.4,1,0.91
41,Weston Walton,331,116,5,5,5,9.38,1,0.93
42,Dakota Mahoney,330,116,5,5,4.5,9.36,1,0.93
43,Mekhi Salinas,331,115,5,4.5,3.5,9.36,1,0.93
44,Stephany Foster,332,118,2,4.5,3.5,9.36,1,0.9
45,Beckett Farmer,322,115,5,4,4.5,9.36,1,0.92
46,Santiago Oneal,333,118,5,5,5,9.35,1,0.92
47,Cassie Chandler,331,119,4,5,4.5,9.34,1,0.9
48,Riley Wyatt,330,115,5,4.5,3,9.34,1,0.9
49,Silas Herring,323,113,3,4,3,9.32,1,0.85
50,Stella Casey,330,113,5,5,4,9.31,1,0.91
51,Kasey Parker,329,114,5,4,5,9.3,1,0.86
52,Dante Maxwell,332,116,5,5,5,9.28,1,0.94
53,Cyrus Duke,333,113,5,4,4,9.28,1,0.89
54,Jordan Cline,331,116,5,4,4,9.26,1,0.93
55,Everett Vasquez,322,112,4,4.5,4.5,9.26,1,0.91
56,Alisha Galloway,330,114,3,4.5,4.5,9.24,1,0.9
57,George Werner,332,119,4,5,4.5,9.24,1,0.9
58,Gauge Friedman,329,111,4,4.5,4,9.23,1,0.89
59,Cristian Shepherd,338,115,5,4.5,5,9.23,1,0.91
60,Caylee Morris,326,111,5,4.5,4,9.23,1,0.88
61,Amaya Bauer,323,113,4,4,4.5,9.23,1,0.89
62,Derrick Archer,324,110,3,3.5,3,9.22,1,0.89
63,Jamie Brady,320,110,5,5,4.5,9.22,1,0.92
64,Ayana Barnes,318,109,3,3.5,4,9.22,1,0.68
